icon_code	icon_description	season	activity_prompt
01d	clear sky	spring	unfurling a kite's tail in the mild breeze
01d	clear sky	spring	sipping nectar from a budding flower
01d	clear sky	spring	painting easter eggs in vibrant colors
01d	clear sky	spring	swinging gently on a daisy chain swing
01d	clear sky	spring	dancing around a maypole with friends
01d	clear sky	spring	rolling a wheel of cheese down a hill
01d	clear sky	spring	sitting calmly in a field of fresh tulips
01d	clear sky	spring	blowing bubbles that carry spring vibes
01d	clear sky	spring	basking in the sun with a cowboy hat
01d	clear sky	spring	tossing a frisbee with a friend
01d	clear sky	spring	making a dandelion necklace in the park
01d	clear sky	spring	chasing a butterfly with a net
01d	clear sky	spring	having a sneeze after sniffing a hyacinth bloom
01d	clear sky	spring	skating on a concrete pavement with a skateboard
01d	clear sky	spring	enjoying a picnic with spring fruits
01d	clear sky	spring	throwing a paper airplane into the open sky
01d	clear sky	spring	feeding the baby birds in their nest
01d	clear sky	spring	planting a tiny seedling in a pot
01d	clear sky	spring	observing a crawling caterpillar with curiosity
01d	clear sky	spring	hopping on a pogo stick with glee
01d	clear sky	spring	building a castle with blocks in the sun
01d	clear sky	spring	floating on a leaf in a small creek
01d	clear sky	spring	playing hide and seek among tall grass
01d	clear sky	spring	tossing a coin into a sparkling fountain
01d	clear sky	spring	splashing water in a puddle with tiny feet
01d	clear sky	spring	listening to a songbird with closed eyes
01d	clear sky	spring	doing yoga poses under the clear sky
01d	clear sky	spring	playing catch with a beach ball
01d	clear sky	spring	jumping over a skipping rope
01d	clear sky	spring	conducting a melody with a conductor's wand
01d	clear sky	spring	shooting a homemade slingshot towards the sky
01d	clear sky	spring	reading a book under the shade of a huge leaf
01d	clear sky	spring	flying a remote control airplane
01d	clear sky	spring	jumping on a trampoline with joy
01d	clear sky	spring	riding a unicycle on smooth pavement
01d	clear sky	spring	drawing a chalk masterpiece on the sidewalk
01d	clear sky	spring	racing a snail to the nearest pebble
01d	clear sky	spring	swaying on a tree swing
01d	clear sky	spring	taking a nap in a sunlit patch of grass
01d	clear sky	spring	balancing stacked pebbles on top of one another
01d	clear sky	spring	plucking a four-leaf clover from a patch
01d	clear sky	spring	playing a harmonica to the tune of the breeze
01d	clear sky	spring	guiding a toy sailboat across a pond
01d	clear sky	spring	kicking a hacky sack with agile foot movement
01d	clear sky	spring	trying to catch a frisky grasshopper
01d	clear sky	spring	spinning a hula hoop around the waist
01d	clear sky	spring	tossing a boomerang into the open sky
01d	clear sky	spring	helping a bee find its way to a flower
01d	clear sky	spring	juggling three small pebbles
01d	clear sky	spring	writing a message on a paper, ready to put in a bottle
01d	clear sky	summer	waving hello from a kiddie pool
01d	clear sky	summer	sipping a glass of iced lemonade
01d	clear sky	summer	wearing a pair of oversized sunglasses
01d	clear sky	summer	building a sandcastle
01d	clear sky	summer	lazing on a pool floatie
01d	clear sky	summer	eating watermelon
01d	clear sky	summer	riding a tricycle
01d	clear sky	summer	blowing bubbles through a straw
01d	clear sky	summer	playing beach volleyball
01d	clear sky	summer	swinging on a swing
01d	clear sky	summer	hopping through a sprinkler
01d	clear sky	summer	catching butterflies with a net
01d	clear sky	summer	twirling a hula hoop
01d	clear sky	summer	playing catch with a beach ball
01d	clear sky	summer	surfing on a tiny board
01d	clear sky	summer	making daisy chain necklaces
01d	clear sky	summer	taking a selfie on an instant camera
01d	clear sky	summer	doing a cartwheel
01d	clear sky	summer	playing hopscotch
01d	clear sky	summer	skipping with a jump rope
01d	clear sky	summer	dancing with maracas
01d	clear sky	summer	picnicking with a small sandwich
01d	clear sky	summer	juggling three ice cream cones
01d	clear sky	summer	flying a kite
01d	clear sky	summer	combing its fringe with a small brush
01d	clear sky	summer	biting into a large popsicle
01d	clear sky	summer	playing frisbee
01d	clear sky	summer	running with a pinwheel
01d	clear sky	summer	playing with a yo-yo
01d	clear sky	summer	bouncing a beach ball on its head
01d	clear sky	summer	drawing with sidewalk chalk
01d	clear sky	summer	running with a puppy
01d	clear sky	summer	listening to music on a radio
01d	clear sky	summer	playing a game of tetherball
01d	clear sky	summer	reading a comic book
01d	clear sky	summer	applying sunscreen lotion
01d	clear sky	summer	doing a handstand
01d	clear sky	summer	squinting at the sun
01d	clear sky	summer	holding a refreshing drink with a straw
01d	clear sky	summer	fanning itself with a paper fan
01d	clear sky	summer	having a barbecue with a tiny grill
01d	clear sky	summer	watching a butterfly land on its nose
01d	clear sky	summer	looking up at the clear sky with binoculars
01d	clear sky	summer	relaxing under an umbrella
01d	clear sky	summer	taking a nap in a hammock
01d	clear sky	summer	playing tic-tac-toe in the sand
01d	clear sky	summer	eating a bag of popcorn
01d	clear sky	summer	holding a frozen treat
01d	clear sky	summer	badminton, with a small racket and shuttlecock
01d	clear sky	summer	playing fetch with a small dog
01d	clear sky	fall	playing in a pile of autumn leaves
01d	clear sky	fall	trying to catch a falling leaf
01d	clear sky	fall	bobbing for apples
01d	clear sky	fall	carving a small pumpkin
01d	clear sky	fall	holding a cup of steaming apple cider
01d	clear sky	fall	wearing a colorful, knitted scarf
01d	clear sky	fall	jumping into a large pile of leaves
01d	clear sky	fall	roasting marshmallows over a small flame
01d	clear sky	fall	napping under a tree with falling leaves
01d	clear sky	fall	chasing a squirrel around a tree
01d	clear sky	fall	hugging a small pumpkin
01d	clear sky	fall	tasting a freshly picked apple
01d	clear sky	fall	collecting vibrant autumn leaves
01d	clear sky	fall	drinking pumpkin spice latte from a small mug
01d	clear sky	fall	pouring maple syrup on a stack of pancakes
01d	clear sky	fall	sitting by a small campfire
01d	clear sky	fall	watching a caterpillar on a tree branch
01d	clear sky	fall	exploring a corn maze
01d	clear sky	fall	holding a tiny football at a tailgate
01d	clear sky	fall	picking out the perfect pumpkin at a pumpkin patch
01d	clear sky	fall	wrapping up in a warm, checkered blanket
01d	clear sky	fall	hanging decorative gourds
01d	clear sky	fall	bundling up in a cozy, knit hat
01d	clear sky	fall	waving at a passing flock of migrating birds
01d	clear sky	fall	baking an apple pie
01d	clear sky	fall	kicking a pine cone down a path
01d	clear sky	fall	harvesting miniature fall vegetables for a feast
01d	clear sky	fall	reading a book under a shedding tree
01d	clear sky	fall	smelling a cinnamon stick
01d	clear sky	fall	going for a brisk run
01d	clear sky	fall	toasting a small piece of bread over an open flame
01d	clear sky	fall	raking a mini mountain of leaves
01d	clear sky	fall	sipping hot chocolate by a mini bonfire
01d	clear sky	fall	throwing a small frisbee in the park
01d	clear sky	fall	biting into a caramel apple
01d	clear sky	fall	collecting acorns
01d	clear sky	fall	dressed up as a tiny ghost for Halloween
01d	clear sky	fall	staring at a vibrant sunset
01d	clear sky	fall	swinging on a swing set
01d	clear sky	fall	flying a tiny kite in the gentle breeze
01d	clear sky	fall	snacking on toasted pumpkin seeds
